BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
1296.0,36.0,0.75,,2.0,307,1728.0,96.34,1.0,2.0,,1296.0,0.9,,0
3675.0,70.0,1.47,,4.8,49,2500.0,100.0,1.0,2.0,,2940.0,2.43,,0
1400.0,33.0,0.7,,1.0,17,2000.0,100.0,1.0,2.0,,1400.0,0.6,,0
44150.0,90.0,5.43,,4.8,1,8125.0,100.0,1.0,5.0,,37850.0,3.44,,0
3240.0,50.0,1.97,,4.8,15,1645.0,76.16,1.0,3.0,,3240.0,2.43,,0
2030.0,30.0,0.97,,4.8,4,2100.0,100.0,1.0,2.5,,2030.0,2.43,,0
41750.0,117.25,3.9,,4.8,1,10700.0,117.35,1.0,6.0,,41750.0,3.44,,0
2800.0,50.0,0.56,,2.0,53,4965.0,149.0,1.0,3.0,,2800.0,1.25,,0
2640.0,66.0,0.84,,6.5,42,3125.0,125.0,2.0,2.0,,2640.0,6.02,,0
3372.0,56.0,1.35,,4.8,54,2500.0,100.0,2.0,2.0,,2248.0,3.44,,0
25913.0,67.0,3.78,,4.8,1225,6850.0,88.33,1.0,5.0,,25913.0,2.43,,0
40775.0,104.0,1.63,,4.8,27,25041.0,195.0,4.0,4.0,,,2.43,,0
2112.0,48.0,0.84,,2.0,29,2500.0,100.0,1.0,2.0,,2112.0,2.0,,0
3312.0,48.0,2.46,,4.8,112,1346.0,66.76,1.0,3.0,,3312.0,3.44,,0
,,,,,169,20200.0,100.0,,,,,,,0
,,,,4.8,92,2020.0,77.75,1.0,,,,2.43,,0
3978.0,62.0,1.2,,2.0,59,3315.0,135.84,1.0,2.0,,2652.0,1.35,,0
2841.0,41.0,1.03,,2.0,6,2768.0,86.5,1.0,2.5,,2278.0,0.9,,0
1950.0,30.0,0.49,,1.0,33,4000.0,100.0,2.0,2.5,,1950.0,0.6,,0
2144.0,40.0,0.83,,1.0,51,2575.0,103.0,2.0,2.0,,1744.0,0.6,,0
21295.0,111.0,3.28,,4.8,7,6500.0,130.0,1.0,5.0,,21295.0,2.43,,0
2901.0,46.0,1.48,,2.0,152,1958.0,93.23,1.0,3.0,,2901.0,1.25,,0
1932.0,30.0,0.8,,4.8,2,2417.0,100.0,1.0,2.5,,1380.0,3.44,,0
1759.0,35.0,0.87,,2.0,1,2013.0,99.0,1.0,2.0,,1260.0,1.25,,0
2145.0,35.0,0.74,,1.0,407,2905.0,95.0,1.0,2.5,,2145.0,0.6,,0
,,,,2.0,135,33.0,112.25,,,,,0.9,,0
2358.0,40.33,0.46,,2.0,48,5075.0,100.0,1.0,1.75,,1438.0,0.9,,0
27691.0,126.25,3.93,,4.8,23,7052.0,129.0,1.0,4.0,,27691.0,3.44,,0
10730.0,115.0,0.11,,4.8,44,99294.0,402.0,1.0,2.0,10730.0,,2.43,,0
,,,1.0,2.4,50,71066.0,172.25,,,,,,,0
2480.0,62.0,0.99,,4.8,29,2500.0,100.0,1.0,2.0,,2480.0,2.43,,0
2184.0,38.0,0.92,,4.8,53,2377.0,123.5,1.0,2.0,,1456.0,2.43,,0
1782.0,36.0,0.99,,2.0,311,1800.0,100.0,1.0,2.0,,1296.0,0.9,,0
3621.0,43.0,1.47,,2.0,69,2471.0,88.0,1.0,3.0,,3621.0,0.9,,0
2600.0,65.0,1.27,,4.8,38,2040.0,102.0,2.0,2.0,650.0,650.0,2.43,1300.0,0
2236.0,55.0,0.89,,2.0,474,2525.0,100.75,2.0,2.0,,2236.0,1.25,,0
1596.0,40.0,0.64,,2.0,57,2513.0,100.5,2.0,2.0,,1596.0,0.9,,0
1680.0,40.0,0.8,,4.8,117,2100.0,100.0,1.0,2.0,,1680.0,3.44,,0
3375.0,45.0,1.58,1.0,6.5,2,2133.0,85.26,1.0,3.0,,2250.0,3.44,1125.0,0
